ID,Model,Hidden Size,Vocab Size,Parameters,Insertions,Repetitions,Epochs,Scrubbing,L2 Regularization,Dropout,Canaries Extracted Greedy,Canaries Extracted Top 4,Secret NLL,Test NLL,Test Accuracy
cd,LSTM,512,25000,29827496,256,16,1,No,1.00E-05,0.1,47,50,0.86,4.14,24.94
ce,LSTM,384,25000,21590440,32,16,1,No,1.00E-05,0.1,0,0,7.45,4.21,24.41
cf,LSTM,384,25000,21590440,64,16,1,No,1.00E-05,0.1,0,1,6.11,4.20,24.44
cg,LSTM,384,25000,21590440,128,16,1,No,1.00E-05,0.1,4,10,3.24,4.20,24.46
ch,LSTM,384,25000,21590440,256,16,1,No,1.00E-05,0.1,44,49,1.14,4.20,24.43
ci,LSTM,256,25000,13877672,32,16,1,No,1.00E-05,0.1,0,0,7.84,4.30,23.60
cj,LSTM,256,25000,13877672,64,16,1,No,1.00E-05,0.1,0,0,6.82,4.30,23.64
ck,LSTM,256,25000,13877672,128,16,1,No,1.00E-05,0.1,0,1,4.79,4.30,23.62
cl,LSTM,256,25000,13877672,256,16,1,No,1.00E-05,0.1,27,46,1.78,4.31,23.56
cm,LSTM,512,25000,29827496,32,16,1,No,5.00E-06,0.1,0,1,6.32,4.04,25.73
cn,LSTM,512,25000,29827496,64,16,1,No,5.00E-06,0.1,1,3,4.15,4.03,25.74
co,LSTM,512,25000,29827496,128,16,1,No,5.00E-06,0.1,32,43,1.63,4.04,25.73
cp,LSTM,512,25000,29827496,256,16,1,No,5.00E-06,0.1,50,50,0.53,4.03,25.73
cq,LSTM,384,25000,21590440,32,16,1,No,5.00E-06,0.1,0,0,6.62,4.11,25.12
cr,LSTM,384,25000,21590440,64,16,1,No,5.00E-06,0.1,1,1,4.63,4.10,25.14
cs,LSTM,384,25000,21590440,128,16,1,No,5.00E-06,0.1,21,36,2.10,4.10,25.15
ct,LSTM,384,25000,21590440,256,16,1,No,5.00E-06,0.1,50,50,0.72,4.10,25.14
cu,LSTM,256,25000,13877672,32,16,1,No,5.00E-06,0.1,0,0,7.28,4.21,24.18
cv,LSTM,256,25000,13877672,64,16,1,No,5.00E-06,0.1,0,0,5.74,4.21,24.16
cw,LSTM,256,25000,13877672,128,16,1,No,5.00E-06,0.1,1,8,3.29,4.22,24.10
cx,LSTM,256,25000,13877672,256,16,1,No,5.00E-06,0.1,38,46,1.34,4.22,24.17
cy,LSTM,512,25000,29827496,32,16,1,No,1.00E-06,0.1,1,1,4.09,3.90,26.58
cz,LSTM,512,25000,29827496,64,16,1,No,1.00E-06,0.1,21,35,1.97,3.90,26.61
da,LSTM,512,25000,29827496,128,16,1,No,1.00E-06,0.1,42,49,0.92,3.90,26.60
db,LSTM,512,25000,29827496,256,16,1,No,1.00E-06,0.1,50,50,0.21,3.90,26.61
dc,LSTM,384,25000,21590440,32,16,1,No,1.00E-06,0.1,1,3,4.65,3.98,25.88
dd,LSTM,384,25000,21590440,64,16,1,No,1.00E-06,0.1,12,25,2.39,3.98,25.90
de,LSTM,384,25000,21590440,128,16,1,No,1.00E-06,0.1,39,50,1.19,3.98,25.86
df,LSTM,384,25000,21590440,256,16,1,No,1.00E-06,0.1,50,50,0.33,3.98,25.86
df,LSTM,256,25000,13877672,32,16,1,No,1.00E-06,0.1,0,0,5.93,4.11,24.69
dh,LSTM,256,25000,13877672,64,16,1,No,1.00E-06,0.1,3,4,3.68,4.11,24.63
di,LSTM,256,25000,13877672,128,16,1,No,1.00E-06,0.1,26,35,1.81,4.11,24.63
dj,LSTM,256,25000,13877672,256,16,1,No,1.00E-06,0.1,47,49,0.76,4.12,24.66
dk,LSTM,512,25000,29827496,32,16,1,No,5.00E-07,0.1,1,7,3.45,3.88,26.74
dl,LSTM,512,25000,29827496,64,16,1,No,5.00E-07,0.1,26,38,1.70,3.88,26.72
dm,LSTM,512,25000,29827496,128,16,1,No,5.00E-07,0.1,47,49,0.67,3.88,26.71
dn,LSTM,512,25000,29827496,256,16,1,No,5.00E-07,0.1,50,50,0.16,3.88,26.75
do,LSTM,384,25000,21590440,32,16,1,No,5.00E-07,0.1,2,3,4.15,3.96,25.97
dp,LSTM,384,25000,21590440,64,16,1,No,5.00E-07,0.1,18,31,2.19,3.96,26.04
dq,LSTM,384,25000,21590440,128,16,1,No,5.00E-07,0.1,41,47,0.98,3.96,26.00
dr,LSTM,384,25000,21590440,256,16,1,No,5.00E-07,0.1,50,50,0.30,3.96,25.98
ds,LSTM,256,25000,13877672,32,16,1,No,5.00E-07,0.1,0,0,5.44,4.09,24.80
dt,LSTM,256,25000,13877672,64,16,1,No,5.00E-07,0.1,6,12,3.30,4.09,24.78
du,LSTM,256,25000,13877672,128,16,1,No,5.00E-07,0.1,30,41,1.59,4.09,24.74
dv,LSTM,256,25000,13877672,256,16,1,No,5.00E-07,0.1,49,50,0.53,4.09,24.76
fb,LSTM,512,25000,29827496,32,16,1,No,0.0,0.2,8,14,2.95,3.90,26.46
fc,LSTM,512,25000,29827496,64,16,1,No,0.0,0.2,33,42,1.33,3.90,26.49
fd,LSTM,512,25000,29827496,128,16,1,No,0.0,0.2,48,50,0.51,3.90,26.50
fe,LSTM,512,25000,29827496,256,16,1,No,0.0,0.2,50,50,0.08,3.90,26.53
ff,LSTM,384,25000,21590440,32,16,1,No,0.0,0.2,3,6,3.69,3.98,25.72
fg,LSTM,384,25000,21590440,64,16,1,No,0.0,0.2,19,35,1.94,3.98,25.72
fh,LSTM,384,25000,21590440,128,16,1,No,0.0,0.2,39,49,0.83,3.99,25.68
fi,LSTM,384,25000,21590440,256,16,1,No,0.0,0.2,50,50,0.23,3.98,25.70
fj,LSTM,256,25000,13877672,32,16,1,No,0.0,0.2,0,0,5.17,4.12,24.40
fk,LSTM,256,25000,13877672,64,16,1,No,0.0,0.2,8,17,3.04,4.12,24.41
fl,LSTM,256,25000,13877672,128,16,1,No,0.0,0.2,30,38,1.60,4.12,24.40
fm,LSTM,256,25000,13877672,256,16,1,No,0.0,0.2,44,50,0.48,4.13,24.35
fn,LSTM,512,25000,29827496,32,16,1,No,0.0,0.3,7,13,2.97,3.91,26.41
fo,LSTM,512,25000,29827496,64,16,1,No,0.0,0.3,32,39,1.42,3.91,26.39
fp,LSTM,512,25000,29827496,128,16,1,No,0.0,0.3,48,49,0.51,3.91,26.38
fq,LSTM,512,25000,29827496,256,16,1,No,0.0,0.3,50,50,0.08,3.91,26.37
fr,LSTM,384,25000,21590440,32,16,1,No,0.0,0.3,2,6,3.88,4.00,25.53
fs,LSTM,384,25000,21590440,64,16,1,No,0.0,0.3,17,30,1.98,4.00,25.55
ft,LSTM,384,25000,21590440,128,16,1,No,0.0,0.3,41,47,0.80,4.00,25.53
fu,LSTM,384,25000,21590440,256,16,1,No,0.0,0.3,50,50,0.13,4.00,25.54
fv,LSTM,256,25000,13877672,32,16,1,No,0.0,0.3,0,1,5.21,4.14,24.23
fw,LSTM,256,25000,13877672,64,16,1,No,0.0,0.3,8,12,3.27,4.14,24.22
fx,LSTM,256,25000,13877672,128,16,1,No,0.0,0.3,29,36,1.68,4.14,24.20
fy,LSTM,256,25000,13877672,256,16,1,No,0.0,0.3,47,50,0.52,4.14,24.23
dw,GPT,768,50258,81913344,32,8,1,No,0.0,0.1,1,3,3.72,2.55,n/a
dx,GPT,768,50258,81913344,64,8,1,No,0.0,0.1,36,43,0.59,2.55,n/a
dy,GPT,768,50258,81913344,128,8,1,No,0.0,0.1,50,50,0.00,2.55,n/a
dz,GPT,768,50258,81913344,256,8,1,No,0.0,0.1,50,50,0.00,2.55,n/a
ey,GPT,768,50258,81913344,40,8,1,No,0.0,0.1,3,6,3.22,2.55,n/a
ez,GPT,768,50258,81913344,48,8,1,No,0.0,0.1,4,10,2.80,2.55,n/a
fa,GPT,768,50258,81913344,56,8,1,No,0.0,0.1,15,22,1.84,2.55,n/a
ea,GPT,768,50258,81931776,32,8,1,Yes,0.0,0.1,1,2,3.78,2.60,n/a
eb,GPT,768,50258,81931776,64,8,1,Yes,0.0,0.1,33,36,1.29,2.60,n/a
ec,GPT,768,50258,81931776,128,8,1,Yes,0.0,0.1,48,48,0.8,2.60,n/a
ed,GPT,768,50258,81931776,256,8,1,Yes,0.0,0.1,48,48,0.79,2.60,n/a
ee,GPT,768,50258,81913344,32,8,1,No,1.00E-07,0.1,1,1,3.76,2.56,n/a
ef,GPT,768,50258,81913344,64,8,1,No,1.00E-07,0.1,42,45,0.43,2.56,n/a
eg,GPT,768,50258,81913344,128,8,1,No,1.00E-07,0.1,50,50,0,2.56,n/a
eh,GPT,768,50258,81913344,256,8,1,No,1.00E-07,0.1,50,50,0,2.56,n/a
ei,GPT,768,50258,81913344,32,8,1,No,5.00E-07,0.1,1,1,3.63,2.56,n/a
ej,GPT,768,50258,81913344,64,8,1,No,5.00E-07,0.1,48,50,0.17,2.56,n/a
ek,GPT,768,50258,81913344,128,8,1,No,5.00E-07,0.1,50,50,0.02,2.56,n/a
el,GPT,768,50258,81913344,256,8,1,No,5.00E-07,0.1,50,50,0.01,2.56,n/a
em,GPT,768,50258,81913344,32,8,1,No,5.00E-08,0.1,1,2,3.73,2.55,n/a
en,GPT,768,50258,81913344,64,8,1,No,5.00E-08,0.1,41,43,0.55,2.55,n/a
eo,GPT,768,50258,81913344,128,8,1,No,5.00E-08,0.1,50,50,0,2.55,n/a
ep,GPT,768,50258,81913344,256,8,1,No,5.00E-08,0.1,50,50,0,2.55,n/a
eq,GPT,768,50258,81913344,32,8,1,No,0.0,0.2,1,1,4.06,2.61,n/a
er,GPT,768,50258,81913344,64,8,1,No,0.0,0.2,33,38,0.87,2.61,n/a
es,GPT,768,50258,81913344,128,8,1,No,0.0,0.2,50,50,0,2.61,n/a
et,GPT,768,50258,81913344,256,8,1,No,0.0,0.2,50,50,0,2.61,n/a
eu,GPT,768,50258,81913344,32,8,1,No,0.0,0.3,1,1,4.19,2.67,n/a
ev,GPT,768,50258,81913344,64,8,1,No,0.0,0.3,35,44,0.58,2.67,n/a
ew,GPT,768,50258,81913344,128,8,1,No,0.0,0.3,50,50,0,2.67,n/a
ex,GPT,768,50258,81913344,256,8,1,No,0.0,0.3,50,50,0,2.67,n/a
