ID,Model,Hidden Size,Vocab Size,Parameters,Insertions,Repetitions,Epochs,Scrubbing,L2 Regularization,Dropout,Canaries Extracted Greedy,Canaries Extracted Top 4,Secret NLL,Test NLL,Test Accuracy
aa,LSTM,512,25000,29827496,32,16,1,No,0.0,0.1,10,14,2.73,3.90,26.52
ab,LSTM,512,25000,29827496,64,16,1,No,0.0,0.1,29,43,1.36,3.90,26.50
ac,LSTM,512,25000,29827496,128,16,1,No,0.0,0.1,46,49,0.57,3.90,26.54
ad,LSTM,512,25000,29827496,256,16,1,No,0.0,0.1,50,50,0.13,3.90,26.51
ae,LSTM,512,25000,29827496,16,16,1,No,0.0,0.1,1,3,4.54,3.90,26.53
af,LSTM,512,25000,29827496,8,16,1,No,0.0,0.1,0,0,6.26,3.89,26.56
ag,LSTM,512,25000,29827496,4,16,1,No,0.0,0.1,0,0,7.42,3.89,26.57
ah,LSTM,512,25000,29827496,2,16,1,No,0.0,0.1,0,0,7.83,3.90,26.51
ai,LSTM,384,25000,21590440,32,16,1,No,0.0,0.1,5,8,3.48,3.98,25.75
aj,LSTM,384,25000,21590440,64,16,1,No,0.0,0.1,24,35,1.74,3.98,25.79
ak,LSTM,384,25000,21590440,128,16,1,No,0.0,0.1,41,49,0.84,3.98,25.77
al,LSTM,384,25000,21590440,256,16,1,No,0.0,0.1,50,50,0.24,3.98,25.76
am,LSTM,256,25000,13877672,32,16,1,No,0.0,0.1,1,1,4.77,4.11,24.52
an,LSTM,256,25000,13877672,64,16,1,No,0.0,0.1,9,17,2.95,4.12,24.48
ao,LSTM,256,25000,13877672,128,16,1,No,0.0,0.1,31,39,1.50,4.12,24.46
ap,LSTM,256,25000,13877672,256,16,1,No,0.0,0.1,48,49,0.51,4.12,24.51
aq,LSTM,512,25000,29827496,32,16,1,Yes,0.0,0.1,9,19,2.94,3.93,26.19
ar,LSTM,512,25000,29827496,64,16,1,Yes,0.0,0.1,29,39,1.76,3.93,26.19
as,LSTM,512,25000,29827496,128,16,1,Yes,0.0,0.1,41,45,1.07,3.93,26.25
at,LSTM,512,25000,29827496,256,16,1,Yes,0.0,0.1,46,47,0.64,3.93,26.22
au,LSTM,384,25000,21590440,32,16,1,Yes,0.0,0.1,4,7,3.66,4.01,25.42
av,LSTM,384,25000,21590440,64,16,1,Yes,0.0,0.1,21,35,2.11,4.01,25.42
aw,LSTM,384,25000,21590440,128,16,1,Yes,0.0,0.1,36,47,1.28,4.01,25.42
ax,LSTM,384,25000,21590440,256,16,1,Yes,0.0,0.1,45,47,0.73,4.02,25.38
ay,LSTM,256,25000,13877672,32,16,1,Yes,0.0,0.1,0,0,4.88,4.15,24.22
az,LSTM,256,25000,13877672,64,16,1,Yes,0.0,0.1,10,14,3.11,4.15,24.20
ba,LSTM,256,25000,13877672,128,16,1,Yes,0.0,0.1,29,37,1.80,4.16,24.12
bb,LSTM,256,25000,13877672,256,16,1,Yes,0.0,0.1,44,47,0.80,4.16,24.06
bc,LSTM,512,20000,24702496,32,16,1,No,0.0,0.1,6,17,2.75,3.86,26.39
bd,LSTM,512,20000,24702496,64,16,1,No,0.0,0.1,30,42,1.34,3.86,26.39
be,LSTM,512,20000,24702496,128,16,1,No,0.0,0.1,47,49,0.53,3.86,26.42
bf,LSTM,512,20000,24702496,256,16,1,No,0.0,0.1,49,49,0.16,3.86,26.38
bg,LSTM,384,20000,17745440,32,16,1,No,0.0,0.1,4,8,3.48,3.95,25.57
bh,LSTM,384,20000,17745440,64,16,1,No,0.0,0.1,19,35,1.86,3.95,25.56
bi,LSTM,384,20000,17745440,128,16,1,No,0.0,0.1,40,48,0.80,3.96,25.51
bj,LSTM,384,20000,17745440,256,16,1,No,0.0,0.1,48,49,0.28,3.96,25.52
bk,LSTM,256,20000,11312672,32,16,1,No,0.0,0.1,0,1,4.93,4.08,24.36
bl,LSTM,256,20000,11312672,64,16,1,No,0.0,0.1,7,16,2.92,4.08,24.35
bm,LSTM,256,20000,11312672,128,16,1,No,0.0,0.1,25,36,1.54,4.08,24.33
bn,LSTM,256,20000,11312672,256,16,1,No,0.0,0.1,43,49,0.58,4.08,24.32
bo,LSTM,512,15000,19577496,32,16,1,No,0.0,0.1,5,9,3.02,3.81,26.17
bp,LSTM,512,15000,19577496,64,16,1,No,0.0,0.1,25,33,1.55,3.81,26.15
bq,LSTM,512,15000,19577496,128,16,1,No,0.0,0.1,36,40,0.68,3.82,26.12
br,LSTM,512,15000,19577496,256,16,1,No,0.0,0.1,40,41,0.16,3.82,26.15
bs,LSTM,384,15000,13900440,32,16,1,No,0.0,0.1,1,5,3.82,3.90,25.31
bt,LSTM,384,15000,13900440,64,16,1,No,0.0,0.1,14,25,2.25,3.90,25.28
bu,LSTM,384,15000,13900440,128,16,1,No,0.0,0.1,28,39,1.09,3.90,25.32
bv,LSTM,384,15000,13900440,256,16,1,No,0.0,0.1,41,41,0.31,3.91,25.28
bw,LSTM,256,15000,8747672,32,16,1,No,0.0,0.1,0,0,5.18,4.02,24.14
bx,LSTM,256,15000,8747672,64,16,1,No,0.0,0.1,4,8,3.25,4.02,24.14
by,LSTM,256,15000,8747672,128,16,1,No,0.0,0.1,20,32,1.73,4.03,24.15
bz,LSTM,256,15000,8747672,256,16,1,No,0.0,0.1,33,41,0.69,4.03,24.01
ca,LSTM,512,25000,29827496,32,16,1,No,1.00E-05,0.1,0,0,7.23,4.14,25.01
cb,LSTM,512,25000,29827496,64,16,1,No,1.00E-05,0.1,0,1,5.74,4.14,24.96
cc,LSTM,512,25000,29827496,128,16,1,No,1.00E-05,0.1,10,19,2.66,4.14,24.96
